       TBL	 IX1B	    IX1K       IX1Z	  IX2B	     IX2K	IX2Z
---------- ---------- ---------- ---------- ---------- ---------- ----------
   4194304    4194304	 4194304    4194304    6291456	  7340032    6291456
   6291456    6291456	 5242880    5242880    8388608	 10485760    7340032
   8388608    8388608	 7340032    7340032   11534336	 13631488    9437184
  10485760   10485760	 8388608    8388608   13631488	 16777216   11534336
  11534336   12582912	 9437184    9437184   16777216	 20971520   13631488
  13631488   13631488	10485760   10485760   18874368	 24117248   15728640
  15728640   15728640	11534336   11534336   22020096	 27262976   17825792
  17825792   17825792	13631488   13631488   24117248	 30408704   19922944
  19922944   19922944	14680064   14680064   27262976	 33554432   20971520
  22020096   22020096	15728640   15728640   29360128	 36700160   23068672
  23068672   24117248	16777216   16777216   32505856	 40894464   25165824
  25165824   26214400	17825792   17825792   34603008	 44040192   27262976
  27262976   27262976	19922944   19922944   37748736	 47185920   29360128
  29360128   29360128	20971520   20971520   39845888	 50331648   31457280
  31457280   31457280	22020096   22020096   42991616	 53477376   33554432
  33554432   33554432	23068672   23068672   45088768	 56623104   34603008
  34603008   35651584	24117248   24117248   48234496	 60817408   36700160
  36700160   37748736	26214400   26214400   50331648	 63963136   38797312
  38797312   39845888	27262976   27262976   53477376	 67108864   40894464
  40894464   40894464	28311552   28311552   55574528	 75497472   42991616
  42991616   42991616	29360128   29360128   58720256	 75497472   45088768
  44040192   45088768	31457280   31457280   60817408	 83886080   47185920
  46137344   47185920	32505856   32505856   63963136	 83886080   48234496
  48234496   49283072	33554432   33554432   66060288	 83886080   50331648
  50331648   51380224	34603008   34603008   75497472	 92274688   52428800
  52428800   53477376	35651584   35651584   75497472	 92274688   54525952
  54525952   54525952	36700160   36700160   75497472	100663296   56623104
  55574528   56623104	38797312   38797312   83886080	100663296   58720256
  57671680   58720256	39845888   39845888   83886080	100663296   60817408
  59768832   60817408	40894464   40894464   83886080	109051904   61865984
  61865984   62914560	41943040   41943040   92274688	109051904   63963136
  63963136   65011712	44040192   44040192   92274688	117440512   66060288
  66060288   67108864	45088768   45088768   92274688	117440512   75497472
  67108864   75497472	46137344   46137344   92274688	117440512   75497472
  75497472   75497472	47185920   47185920  100663296	125829120   75497472
  75497472   75497472	48234496   48234496  100663296	125829120   75497472
  75497472   75497472	50331648   50331648  100663296	134217728   75497472
  75497472   83886080	51380224   51380224  109051904	134217728   83886080
  83886080   83886080	52428800   52428800  109051904	134217728   83886080
  83886080   83886080	53477376   53477376  109051904	142606336   83886080
  83886080   83886080	54525952   54525952  117440512	142606336   83886080
  83886080   83886080	56623104   56623104  117440512	150994944   92274688
  92274688   92274688	57671680   57671680  117440512	150994944   92274688
  92274688   92274688	58720256   58720256  125829120	150994944   92274688
  92274688   92274688	59768832   59768832  125829120	159383552   92274688
  92274688   92274688	60817408   60817408  125829120	159383552  100663296
  92274688  100663296	62914560   62914560  134217728	167772160  100663296
 100663296  100663296	63963136   63963136  134217728	167772160  100663296
 100663296  100663296	65011712   65011712  134217728	167772160  100663296
 100663296  100663296	66060288   66060288  134217728	176160768  109051904
 100663296  109051904	67108864   67108864  142606336	176160768  109051904
 109051904  109051904	75497472   75497472  142606336	176160768  109051904
 109051904  109051904	75497472   75497472  142606336	184549376  109051904
 109051904  109051904	75497472   75497472  150994944	184549376  109051904
 109051904  109051904	75497472   75497472  150994944	192937984  117440512
 117440512  117440512	75497472   75497472  150994944	192937984  117440512
 117440512  117440512	75497472   75497472  159383552	192937984  117440512
 117440512  117440512	83886080   83886080  159383552	201326592  117440512
 117440512  117440512	83886080   83886080  159383552	201326592  125829120
 117440512  125829120	83886080   83886080  167772160	209715200  125829120
 125829120  125829120	83886080   83886080  167772160	209715200  125829120
 125829120  125829120	83886080   83886080  167772160	209715200  125829120
 125829120  125829120	83886080   83886080  176160768	218103808  134217728
 125829120  134217728	83886080   83886080  176160768	218103808  134217728
 134217728  134217728	92274688   92274688  176160768	226492416  134217728
 134217728  134217728	92274688   92274688  176160768	226492416  134217728
 134217728  134217728	92274688   92274688  184549376	226492416  134217728
 134217728  134217728	92274688   92274688  184549376	234881024  142606336
 134217728  142606336	92274688   92274688  184549376	234881024  142606336
 142606336  142606336	92274688   92274688  192937984	243269632  142606336
 142606336  142606336	92274688   92274688  192937984	243269632  142606336
 142606336  142606336  100663296  100663296  192937984	243269632  150994944
 142606336  150994944  100663296  100663296  201326592	251658240  150994944
 150994944  150994944  100663296  100663296  201326592	251658240  150994944
 150994944  150994944  100663296  100663296  201326592	260046848  150994944
 150994944  150994944  100663296  100663296  209715200	260046848  159383552
 150994944  159383552  100663296  100663296  209715200	260046848  159383552
 159383552  159383552  109051904  109051904  209715200	268435456  159383552
 159383552  159383552  109051904  109051904  218103808	268435456  159383552
 159383552  159383552  109051904  109051904  218103808	276824064  159383552
 159383552  159383552  109051904  109051904  218103808	276824064  167772160
 159383552  167772160  109051904  109051904  226492416	276824064  167772160
 167772160  167772160  109051904  109051904  226492416	285212672  167772160
 167772160  167772160  109051904  109051904  226492416	285212672  167772160
 167772160  167772160  117440512  117440512  226492416	293601280  176160768
 167772160  176160768  117440512  117440512  234881024	293601280  176160768
 176160768  176160768  117440512  117440512  234881024	293601280  176160768
 176160768  176160768  117440512  117440512  234881024	301989888  176160768
 176160768  176160768  117440512  117440512  243269632	301989888  184549376
 176160768  184549376  117440512  117440512  243269632	310378496  184549376
 176160768  184549376  117440512  117440512  243269632	310378496  184549376
 184549376  184549376  125829120  125829120  251658240	310378496  184549376
 184549376  184549376  125829120  125829120  251658240	318767104  184549376
 184549376  192937984  125829120  125829120  251658240	318767104  192937984
 184549376  192937984  125829120  125829120  260046848	327155712  192937984
 192937984  192937984  125829120  125829120  260046848	327155712  192937984
 192937984  192937984  125829120  125829120  260046848	327155712  192937984
 192937984  192937984  134217728  134217728  268435456	335544320  201326592
 192937984  201326592  134217728  134217728  268435456	335544320  201326592
 201326592  201326592  134217728  134217728  268435456	335544320  201326592
